Год		ОКАТО	Население	Название      wikipedia													addr:district
2010	03223819011	1035	Первомайский	ru:Первомайский (Октябрьское сельское поселение)			Красноармейский район
2010	03223825005	13	Первомайский	ru:Первомайский (Старонижестеблиевское сельское поселение)	Красноармейский район
2010	03228822001	1971	Первомайский	ru:Первомайский (Первомайское сельское поселение)           Кущёвский район
2010	03228831008	14	Первомайский	ru:Первомайский (Шкуринское сельское поселение)             Кущёвский район
2010	03409828001	2635	Первомайский	ru:Первомайский (Горячий Ключ)                              МО Горячий Ключ
2010	03405805002	43	Первомайский	ru:Первомайский (Армавир)                                   МО город Армавир
2010	03228810003	45	Водяная Балка	ru:Водяная Балка (Красносельское сельское поселение)        Кущёвский район
2010	03228828004	21	Водяная Балка	ru:Водяная Балка (Раздольненское сельское поселение)        Кущёвский район
2010	03230819002	52	Весёлый	ru:Весёлый (Вознесенское сельское поселение)              	Лабинский район
2010	03230825002	13	Весёлый	ru:Весёлый (Зассовское сельское поселение)	                Лабинский район
2010	03224811001	13621	Крыловская	ru:Крыловская (Крыловский район)                          	Крыловский район
2010	03232804001	6615	Крыловская	ru:Крыловская (Ленинградский район)	                        Ленинградский район
2010	03225810011	69	Ленинский	ru:Ленинский (Киевское сельское поселение)                Крымский район
2010	03225819013	98	Ленинский	ru:Ленинский (Молдаванское сельское поселение)            Крымский район
2010	03228810005	1490	Красное	ru:Красное (Красносельское сельское поселение)            Кущёвский район
2010	03228810001	3569	Красное	ru:Красное (Кущёвский район)                              Кущёвский район
2010	03253825003	180	Красный	ru:Красный (Поселковое сельское поселение)					      Тимашёвский район
2010 	03253828002	385	Красный	ru:Красный (Роговское сельское поселение)					        Тимашёвский район
